0.000000 nan -nan nan
0.010000 1.000000 1.000000 1.000000
0.020000 0.980000 1.030000 0.990000
0.030000 0.959800 1.060400 0.980202
0.040000 0.939394 1.091206 0.970600
0.050000 0.918776 1.122424 0.961188
0.060000 0.897940 1.154060 0.951959
0.070000 0.876880 1.186121 0.942909
0.080000 0.855589 1.218612 0.934032
0.090000 0.834063 1.251540 0.925322
0.100000 0.812294 1.284912 0.916774
0.110000 0.790277 1.318733 0.908382
0.120000 0.768006 1.353010 0.900142
0.130000 0.745475 1.387751 0.892048
0.140000 0.722677 1.422960 0.884095
0.150000 0.699606 1.458646 0.876280
0.160000 0.676257 1.494815 0.868596
0.170000 0.652623 1.531474 0.861040
0.180000 0.628698 1.568630 0.853608
0.190000 0.604475 1.606289 0.846294
0.200000 0.579949 1.644460 0.839095
0.210000 0.555114 1.683149 0.832006
0.220000 0.529962 1.722363 0.825025
0.230000 0.504488 1.762110 0.818146
0.240000 0.478686 1.802397 0.811366
0.250000 0.452548 1.843231 0.804681
0.260000 0.426069 1.884622 0.798089
0.270000 0.399242 1.926575 0.791585
0.280000 0.372060 1.969098 0.785166
0.290000 0.344518 2.012201 0.778829
0.300000 0.316607 2.055890 0.772571
0.310000 0.288323 2.100174 0.766388
0.320000 0.259657 2.145061 0.760279
0.330000 0.230604 2.190559 0.754239
0.340000 0.201156 2.236676 0.748266
0.350000 0.171306 2.283421 0.742358
0.360000 0.141049 2.330803 0.736512
0.370000 0.110376 2.378829 0.730725
0.380000 0.079280 2.427510 0.724995
0.390000 0.047755 2.476852 0.719320
0.400000 0.015793 2.526867 0.713698
0.410000 -0.016612 2.577562 0.708126
0.420000 -0.049469 2.628947 0.702602
0.430000 -0.082785 2.681031 0.697124
0.440000 -0.116566 2.733824 0.691691
0.450000 -0.150822 2.787335 0.686300
0.460000 -0.185558 2.841574 0.680950
0.470000 -0.220783 2.896550 0.675639
0.480000 -0.256505 2.952273 0.670365
0.490000 -0.292731 3.008753 0.665127
0.500000 -0.329470 3.066001 0.659924
0.510000 -0.366729 3.124026 0.654753
0.520000 -0.404517 3.182840 0.649615
0.530000 -0.442842 3.242451 0.644506
0.540000 -0.481711 3.302872 0.639427
0.550000 -0.521134 3.364112 0.634375
0.560000 -0.561119 3.426183 0.629350
0.570000 -0.601675 3.489095 0.624351
0.580000 -0.642809 3.552860 0.619377
0.590000 -0.684531 3.617490 0.614427
0.600000 -0.726851 3.682994 0.609500
0.610000 -0.769776 3.749386 0.604595
0.620000 -0.813315 3.816676 0.599711
0.630000 -0.857479 3.884876 0.594848
0.640000 -0.902276 3.953999 0.590005
0.650000 -0.947716 4.024056 0.585181
0.660000 -0.993809 4.095060 0.580376
0.670000 -1.040563 4.167023 0.575589
0.680000 -1.087989 4.239958 0.570821
0.690000 -1.136097 4.313877 0.566069
0.700000 -1.184897 4.388793 0.561335
0.710000 -1.234398 4.464720 0.556617
0.720000 -1.284611 4.541671 0.551915
0.730000 -1.335547 4.619658 0.547229
0.740000 -1.387216 4.698696 0.542559
0.750000 -1.439628 4.778798 0.537905
0.760000 -1.492795 4.859977 0.533266
0.770000 -1.546728 4.942249 0.528642
0.780000 -1.601437 5.025627 0.524033
0.790000 -1.656933 5.110125 0.519439
0.800000 -1.713229 5.195758 0.514861
0.810000 -1.770335 5.282541 0.510297
0.820000 -1.828264 5.370488 0.505748
0.830000 -1.887026 5.459615 0.501214
0.839999 -1.946634 5.549937 0.496696
0.849999 -2.007101 5.641469 0.492192
0.859999 -2.068437 5.734228 0.487704
0.869999 -2.130656 5.828228 0.483231
0.879999 -2.193771 5.923486 0.478773
0.889999 -2.257794 6.020018 0.474331
0.899999 -2.322737 6.117840 0.469905
0.909999 -2.388615 6.216969 0.465495
0.919999 -2.455439 6.317422 0.461102
0.929999 -2.523225 6.419217 0.456724
0.939999 -2.591984 6.522369 0.452364
0.949999 -2.661731 6.626896 0.448021
0.959999 -2.732481 6.732817 0.443695
0.969999 -2.804246 6.840149 0.439386
0.979999 -2.877041 6.948909 0.435095
0.989999 -2.950881 7.059117 0.430823
0.999999 -3.025781 7.170790 0.426568
1.009999 -3.101754 7.283948 0.422333
1.019999 -3.178817 7.398610 0.418117
1.029999 -3.256984 7.514794 0.413920
1.039999 -3.336271 7.632520 0.409742
1.049999 -3.416694 7.751807 0.405585
1.059999 -3.498268 7.872676 0.401448
1.069999 -3.581009 7.995147 0.397332
1.079999 -3.664934 8.119240 0.393237
1.089999 -3.750059 8.244975 0.389163
1.099999 -3.836400 8.372374 0.385111
1.109999 -3.923975 8.501457 0.381081
1.119999 -4.012800 8.632247 0.377074
1.129999 -4.102893 8.764764 0.373089
1.139999 -4.194272 8.899030 0.369127
1.149999 -4.286953 9.035068 0.365188
1.159999 -4.380956 9.172899 0.361273
1.169999 -4.476298 9.312548 0.357383
1.179999 -4.572997 9.454036 0.353516
1.189999 -4.671072 9.597386 0.349674
1.199999 -4.770543 9.742623 0.345857
1.209999 -4.871428 9.889771 0.342065
1.219999 -4.973746 10.038852 0.338298
1.229999 -5.077518 10.189891 0.334557
1.239999 -5.182763 10.342914 0.330842
1.249999 -5.289500 10.497944 0.327153
1.259999 -5.397751 10.655007 0.323491
1.269999 -5.507536 10.814130 0.319855
1.279999 -5.618876 10.975337 0.316246
1.289999 -5.731792 11.138655 0.312664
1.299999 -5.846306 11.304110 0.309110
1.309999 -5.962438 11.471728 0.305583
1.319999 -6.080211 11.641539 0.302083
1.329999 -6.199647 11.813567 0.298612
1.339999 -6.320769 11.987842 0.295168
